,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,1,Bus Stop,Fast Food Restaurant,Park,Food & Drink Shop,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
1,M4A,North York,Victoria Village,43.7258823,-79.3155716,1,Coffee Shop,Portuguese Restaurant,Hockey Arena,Intersection,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Movie Theater,Massage Studio
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1,Coffee Shop,Park,Bakery,Performing Arts Venue,Breakfast Spot,Shoe Store,Café,Restaurant,Chocolate Shop,Pub
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,1,Clothing Store,Furniture / Home Store,Sporting Goods Shop,Boutique,Miscellaneous Shop,Coffee Shop,Vietnamese Restaurant,Accessories Store,Modern European Restaurant,Massage Studio
4,M7A,Queen's Park,Ontario Provincial Government,43.6623015,-79.3894938,1,Coffee Shop,Sushi Restaurant,Café,Diner,Yoga Studio,Portuguese Restaurant,Beer Bar,Smoothie Shop,Burrito Place,Sandwich Place
6,M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,1,Fast Food Restaurant,Print Shop,Yoga Studio,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
7,M3B,North York,Don Mills North,43.7459058,-79.352188,0,Gym,Caribbean Restaurant,Café,Dessert Shop,Japanese Restaurant,Monument / Landmark,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1,Pizza Place,Gym / Fitness Center,Gastropub,Café,Pharmacy,Breakfast Spot,Athletics & Sports,Intersection,Flea Market,Bank
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,1,Café,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Tanning Salon,Movie Theater,Sushi Restaurant,Steakhouse,Pizza Place,Thai Restaurant
10,M6B,North York,Glencairn,43.709577,-79.4450726,0,Park,Sushi Restaurant,Bakery,Japanese Restaurant,Yoga Studio,Modern European Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,0,Pool,Bakery,Malay Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,3,Bar,Yoga Studio,Malay Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
13,M3C,North York,Don Mills South,43.7258997,-79.340923,1,Coffee Shop,Gym,Restaurant,Grocery Store,Asian Restaurant,Clothing Store,Chinese Restaurant,Dim Sum Restaurant,Discount Store,Sandwich Place
14,M4C,East York,Woodbine Heights,43.6953439,-79.3183887,1,Athletics & Sports,Skating Rink,Intersection,Beer Store,Park,Curling Ice,Mobile Phone Shop,Miscellaneous Shop,Middle Eastern Restaurant,Metro Station
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Coffee Shop,Restaurant,Gastropub,Café,Farmers Market,Cosmetics Shop,New American Restaurant,Furniture / Home Store,Church,Diner
16,M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914,1,Field,Hockey Arena,Trail,Yoga Studio,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,1,Coffee Shop,Beer Store,Pizza Place,Pharmacy,Pet Store,Liquor Store,Park,Café,Mexican Restaurant,Mobile Phone Shop
18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1,Mexican Restaurant,Electronics Store,Medical Center,Intersection,Breakfast Spot,Donut Shop,Bank,Rental Car Location,Restaurant,Yoga Studio
19,M4E,East Toronto,The Beaches,43.6763574,-79.2930312,1,Trail,Health Food Store,Pub,Yoga Studio,Mobile Phone Shop,Miscellaneous Shop,Middle Eastern Restaurant,Mexican Restaurant,Metro Station,Mediterranean Restaurant
20,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,0,Farmers Market,Seafood Restaurant,Beer Bar,Museum,Clothing Store,Bagel Shop,Restaurant,Liquor Store,Basketball Stadium,Cheese Shop
21,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,2,Park,Women's Store,Pool,Monument / Landmark,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
